iter	RMSE
0	427.6744328
1	425.9463581
2	424.1753523
3	422.5318095
4	420.7250541
5	418.9537934
6	416.9679347
7	415.4086684
8	413.7557798
9	412.098854
10	410.5206768
11	408.8112493
12	406.9682705
13	405.2845613
14	403.9485423
15	402.2043547
16	400.4250549
17	399.0646468
18	397.4879447
19	396.1848713
20	394.8517329
21	393.4047883
22	392.0423853
23	390.5988517
24	389.1734444
25	387.7051485
26	386.4077157
27	384.9335254
28	383.6157362
29	382.2253146
30	380.9277842
31	379.6554221
32	378.4278391
33	377.1729973
34	375.9784155
35	374.6586653
36	373.434046
37	372.0327967
38	370.6885674
39	369.5045132
40	368.3734996
41	367.2860994
42	366.1691949
43	364.9092644
44	363.8362114
45	362.7588474
46	361.5744785
47	360.359915
48	359.3002439
49	358.1612693
50	356.9094534
51	355.709542
52	354.7045254
53	353.6093844
54	352.6876208
55	351.6555302
56	350.6011796
57	349.5388556
58	348.6272037
59	347.5725804
60	346.5431971
61	345.5756577
62	344.5645341
63	343.5041336
64	342.5083539
65	341.6056821
66	340.6528825
67	339.7132495
68	338.7285727
69	337.7700646
70	336.7835907
71	335.8057543
72	334.8796723
73	333.9957627
74	333.209662
75	332.1470399
76	331.1621432
77	330.1177044
78	329.1908216
79	328.3016699
80	327.512454
81	326.7230995
82	325.9256202
83	325.1571238
84	324.3311751
85	323.4013881
86	322.7548963
87	321.7920963
88	321.1293597
89	320.3689296
90	319.4867664
91	318.5346246
92	317.7369748
93	317.0242796
94	316.318018
95	315.4520566
96	314.7949659
97	314.0608627
98	313.2759119
99	312.5929795
100	311.8037377
101	311.028318
102	310.179231
103	309.4252642
104	308.7326043
105	307.9922544
106	307.2971077
107	306.6525251
108	305.9452823
109	305.4286912
110	304.7365558
111	304.1541145
112	303.5214086
113	302.8914578
114	302.3563682
115	301.5825395
116	300.9086403
117	300.2482894
118	299.6343318
119	299.0129293
120	298.2510329
121	297.5851602
122	297.0460055
123	296.4277889
124	295.7920434
125	295.1929963
126	294.6648906
127	294.0758795
