iter	Passed	Remaining
0	60	12133
1	63	6325
2	66	4391
3	69	3425
4	73	2855
5	76	2466
6	79	2185
7	82	1968
8	85	1804
9	87	1671
10	91	1567
11	94	1474
12	96	1394
13	100	1332
14	103	1275
15	106	1223
16	109	1176
17	112	1135
18	115	1099
19	118	1065
20	121	1038
21	124	1009
22	127	982
23	130	958
24	133	935
25	136	914
26	139	896
27	143	878
28	146	862
29	149	849
30	153	835
31	156	820
32	159	806
33	162	793
34	166	784
35	169	771
36	174	769
37	178	759
38	183	756
39	188	753
40	192	745
41	195	735
42	198	725
43	201	715
44	206	712
45	210	704
46	214	699
47	218	690
48	221	681
49	224	673
50	227	665
51	231	658
52	234	650
53	237	642
54	241	635
55	244	628
56	247	622
57	251	614
58	254	608
59	257	601
60	261	594
61	262	583
62	265	577
63	268	571
64	269	560
65	273	554
66	276	548
67	280	544
68	283	538
69	287	533
70	290	528
71	293	521
72	297	517
73	300	511
74	304	507
75	308	502
76	311	497
77	314	492
78	318	487
79	321	481
80	324	476
81	327	471
82	331	467
83	334	461
84	337	456
85	340	451
86	343	446
87	347	442
88	350	436
89	353	432
90	357	427
91	360	422
92	363	418
93	367	414
94	369	408
95	372	403
96	375	398
97	379	395
98	382	390
99	386	386
100	389	381
101	392	377
102	395	372
103	399	368
104	403	364
105	406	360
106	409	355
107	413	352
108	416	347
109	419	343
110	423	339
111	426	335
112	430	331
113	433	326
114	436	322
115	439	318
116	443	314
117	448	311
118	452	307
119	455	303
120	459	299
121	462	295
122	466	291
123	469	287
124	473	283
125	476	279
126	479	275
127	482	271
128	486	267
129	489	263
130	493	259
131	496	255
132	499	251
133	502	247
134	505	243
135	508	239
136	512	235
137	515	231
138	518	227
139	521	223
140	524	219
141	528	215
142	531	211
143	534	207
144	538	204
145	541	200
146	544	196
147	548	192
148	551	188
149	555	185
150	558	181
151	561	177
152	565	173
153	568	169
154	571	165
155	575	162
156	578	158
157	582	154
158	585	151
159	588	147
160	592	143
161	596	139
162	599	135
163	602	132
164	605	128
165	609	124
166	613	121
167	617	117
168	620	113
169	623	110
170	626	106
171	630	102
172	634	99
173	637	95
174	640	91
175	643	87
176	646	84
177	650	80
178	653	76
179	656	72
180	659	69
181	663	65
182	667	61
183	670	58
184	674	54
185	677	50
186	680	47
187	683	43
188	687	40
189	691	36
190	695	32
191	698	29
192	701	25
193	704	21
194	708	18
195	711	14
196	714	10
197	718	7
198	721	3
199	724	0
